Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km,Power_W,EE_Mbps_per_W,CellEdge_5pct_Mbps,SINR_StdDev_dB
Urban,0,8.5,28.25784,2.72979714698244,16.07632,10.3011513314121,2.83712026865054,159.937573590569,0.176680434532153,1.05456,11.8793434562414
Urban,0,9,27.8096,2.51167019803028,14.73264,11.003935811206,2.85359136712442,159.933091190569,0.173882714283708,1.17312,13.6109746482187
Urban,0,9.5,28.11016,2.17171309564498,16.27184,11.1874475127899,2.83583793113529,159.936096790569,0.17575869715521,1.1544,14.0108938332508
Urban,0,10,27.92192,2.72702361364689,12.58608,11.4922230950734,2.82773576488116,159.934214390569,0.174583781878048,1.08784,13.082358280752
Urban,0,10.5,27.57248,2.63804375758606,13.55432,11.3277048586595,2.84499263639515,159.930719990569,0.172402650357767,0.95992,11.621501687092
Urban,0,11,27.72016,3.13955088013869,11.77592,11.6047468539598,2.78840334910578,159.932196790569,0.173324449712271,0.8684,11.5973905454819
Urban,0,11.5,27.6536,2.7316141000948,12.96256,10.2966004854783,2.81523704927501,159.931531190569,0.172908992955547,1.18352,15.1885471105382
Urban,0,12,27.53296,2.9126677368533,11.4816,10.8815107894641,2.8185900205778,159.930324790569,0.172155968769868,0.98384,14.3750766055775
Urban,0.5,0,28.4648,1.36131485059445,16.0472,11.1647400364555,2.88457951198959,159.939643190569,0.177972136439519,1.924,10.0241868585806
Urban,0.5,0.5,28.574,0.954000385059607,19.47296,10.8717859317274,2.82957229983384,159.940735190569,0.178653674224732,2.70816,12.2546291156986
Urban,0.5,1,28.77056,0.442613212082744,17.05184,11.1318764638551,2.86697113200103,159.942700790569,0.179880418786178,1.52984,9.44633371511131
Urban,0.5,1.5,28.46688,1.19219476288611,16.92496,10.4563693253325,2.83697952922316,159.939663990569,0.177985118198564,1.63384,11.7880660022734
Urban,0.5,2,28.5116,1.1632417054534,15.00096,11.1453243440046,2.84135254079368,159.940111190569,0.178264225201322,1.95832,13.3757159899128
Urban,0.5,2.5,28.574,0.954000385059607,18.37264,10.6969284581689,2.86131890251646,159.940735190569,0.178653674224732,1.74512,11.3830080239641
Urban,0.5,3,28.10808,2.26862806550387,16.14184,11.2591712809186,2.85776760422798,159.936075990569,0.175745714817071,2.028,11.9879509549065
Urban,0.5,3.5,28.72584,0.536411788209965,18.03568,11.3530561370325,2.82848847954934,159.942253590569,0.179601320821291,1.11384,10.5104316294138
Urban,0.5,4,28.40448,1.3604048953101,18.77096,10.895065554045,2.87999175992095,159.939039990569,0.177595663958436,1.23656,11.0499475300497
Urban,0.5,4.5,27.6328,2.6578510884102,14.49032,10.9566548772694,2.80873381301765,159.931323190569,0.172779162009894,1.72328,10.8118999807347
Urban,0.5,5,28.61872,0.912218892456795,15.71856,11.3653017740267,2.87920294009641,159.941182390569,0.17893277748888,1.61616,12.1642918309602
Urban,0.5,5.5,28.3868,1.84588415848087,17.83912,10.5240674464752,2.83867686757865,159.938863190569,0.17748531803791,1.52256,12.3092374193274
Urban,0.5,6,28.38472,1.62690836188127,16.172,11.2985372360084,2.80748054518678,159.938842390569,0.177472336148869,1.37488,13.115821034737
Urban,0.5,6.5,28.44712,1.48995773998418,13.94952,10.7373251376605,2.87311961705582,159.939466390569,0.177861791351315,1.2168,13.1223732978091
Urban,0.5,7,28.574,0.954000385059607,13.60424,11.1682927103328,2.85856956867478,159.940735190569,0.178653674224732,1.48512,12.3860927789251
Urban,0.5,7.5,27.7524,2.9790748050154,16.11064,10.8107012020498,2.85575867117497,159.932519190569,0.173525685335647,1.27504,10.9206749825642
Urban,0.5,8,28.18816,1.79060440554101,14.46536,11.5103344261776,2.87035321992198,159.936876790569,0.17624553239783,1.014,10.1365129430474
Urban,0.5,8.5,28.42008,1.38459524535851,13.76336,11.3390637013317,2.7551097835412,159.939195990569,0.177693027803365,1.16584,10.1838423722892
Urban,0.5,9,28.23288,1.77862433243177,17.16416,11.6005787317984,2.81946043921606,159.937323990569,0.176524649128585,1.63384,14.406050321538
Urban,0.5,9.5,28.3868,1.84588415848087,15.1892,11.1348921056327,2.8151403500488,159.938863190569,0.17748531803791,1.23552,11.9892802611819
Urban,0.5,10,27.76488,2.5124919952355,16.31448,11.5681191426952,2.84310219291956,159.932643990569,0.173603582778493,1.34784,16.0805169473809
Urban,0.5,10.5,27.61512,2.93136756160405,16.79392,11.4693917349169,2.83766695224372,159.931146390569,0.172668805440567,0.95472,13.5683349887237
Urban,0.5,11,28.35976,1.38170989246613,15.29528,11.0946404914394,2.8200642298745,159.938592790569,0.177316553216994,1.42896,14.2251730202264
Urban,0.5,11.5,27.65256,2.50965443722552,13.98176,11.5465028799871,2.85939833354771,159.931520790569,0.172902501416285,0.98384,11.0959627017295
Urban,0.5,12,27.76488,2.7394494653235,9.79992,10.8106885427793,2.77442603775315,159.932643990569,0.173603582778493,1.0036,13.8185309362884
Urban,1,0,28.77056,0.442613212082744,14.42272,11.9878766090359,2.87296665938502,159.942700790569,0.179880418786178,1.09616,10.7521234408198
Urban,1,0.5,28.18816,1.79060440554101,16.61816,11.3381908274285,2.88663930690252,159.936876790569,0.17624553239783,2.12888,11.1323152269431
Urban,1,1,28.34,1.64421658040092,15.66136,11.9047101667142,2.88292890135595,159.938395190569,0.177193224717757,1.85224,9.73276696887035
Urban,1,1.5,28.37744,1.24317270476694,16.90208,10.7525637680186,2.88989662260338,159.938769590569,0.177426899510632,2.15488,11.7653396758574
Urban,1,2,28.60104,1.09749393490026,19.05488,11.516922123979,2.86747848714115,159.941005590569,0.178822434524486,1.352,9.53162067061787
Urban,1,2.5,28.53656,1.44329668213194,18.03464,10.6294093559102,2.88506399172393,159.940360790569,0.178420005175346,2.21832,10.6239577285319
Urban,1,3,28.37744,1.24317270476694,15.95984,9.99500325644402,2.83341906373614,159.938769590569,0.177426899510632,1.36656,10.8174564361373
Urban,1,3.5,28.72584,0.536411788209965,17.90048,11.3919537559254,2.84880987034551,159.942253590569,0.179601320821291,1.50592,9.3995981841969
Urban,1,4,28.36496,1.85530679524703,14.33744,10.6760023324487,2.83031196113483,159.938644790569,0.177349008034565,1.88968,14.4960478363736
Urban,1,4.5,28.5116,1.1632417054534,19.5104,9.67291283820495,2.86697837831362,159.940111190569,0.178264225201322,1.64736,13.5455236482401
Urban,1,5,28.54696,0.783739986037644,19.29512,10.9257968403934,2.82035882493108,159.940464790569,0.178484913354355,1.56728,14.6203786952839
Urban,1,5.5,28.81528,0.316218152546624,15.16736,12.3394293219016,2.82966910110069,159.943147990569,0.180159515190354,1.20016,11.4079745934022
Urban,1,6,28.59168,0.733990975866231,13.34424,11.3498502058982,2.8474814717038,159.940911990569,0.178764017562223,1.43312,10.643406218342
Urban,1,6.5,28.55424,1.30884767140366,16.79912,10.9424768987274,2.81317606744204,159.940537590569,0.178530349029437,1.34888,10.5894049552313
Urban,1,7,28.77056,0.442613212082744,15.55632,11.9715726371147,2.83167294314619,159.942700790569,0.179880418786178,1.62032,13.8689689277654
Urban,1,7.5,28.59896,1.27941869708434,14.4352,11.248083722509,2.86251599324731,159.940984790569,0.178809452983225,1.09096,12.5467997172095
Urban,1,8,28.27032,1.4190558723953,12.88768,10.779921254947,2.86046123763674,159.937698390569,0.176758327051598,0.94848,12.4079331382819
Urban,1,8.5,28.18608,1.90707387612006,15.18088,11.3560841854101,2.83591696490334,159.936855990569,0.176232550186319,1.40296,12.8913195482433
Urban,1,9,27.49136,3.0329036788032,13.13416,10.9998712336805,2.82794831899795,159.929908790569,0.171896302623422,1.4196,13.3557368394564
Urban,1,9.5,28.36912,1.94197577319427,12.70048,11.3148022289028,2.78626761555748,159.938686390569,0.177374971873427,0.9308,13.4610274812597
Urban,1,10,28.14344,1.80137235847494,13.70824,11.1698391681915,2.84752818255896,159.936429590569,0.175966414106193,1.00776,12.4411786073567
Urban,1,10.5,28.08832,2.87801993611112,12.63704,10.4485992518087,2.81472603490435,159.935878390569,0.175622382436337,0.85176,12.230964075679
Urban,1,11,27.63072,2.73723977639325,11.34224,10.33168021691,2.84888618430988,159.931302390569,0.172766178896755,0.85904,11.9102848850123
Urban,1,11.5,27.50384,2.71405965494722,10.94496,10.5824386390561,2.75865909067898,159.930033590569,0.171974202609196,0.9308,13.3983233154163
Urban,1,12,26.67288,3.64730617193522,8.4864,8.83322429402602,2.81296869544986,159.921723990569,0.166787096427081,0.88816,11.4903291457098
Urban,1.5,0,27.8928,2.74485462980747,17.29312,11.6604824079155,2.91623265773453,159.933923190569,0.174402024558382,1.85744,8.6002887293516
Urban,1.5,0.5,28.5116,1.1632417054534,18.36224,11.2769905135752,2.80069682661986,159.940111190569,0.178264225201322,1.89176,11.4989099735317
Urban,1.5,1,28.59168,0.733990975866231,14.99472,9.88958970907679,2.86404629503975,159.940911990569,0.178764017562223,1.73784,11.7489204689668
Urban,1.5,1.5,28.52928,0.991972165508114,17.4824,10.7736620344548,2.83201237000982,159.940287990569,0.178374569399814,1.16168,10.434231811564
Urban,1.5,2,28.70816,0.814832682461966,16.21152,11.5008852085926,2.87824741285871,159.942076790569,0.179490979334919,1.21784,12.168943588578
Urban,1.5,2.5,28.55424,1.30884767140366,16.61816,10.7409030201452,2.859547935148,159.940537590569,0.178530349029437,1.49864,10.1294135851142
Urban,1.5,3,28.29528,1.66011569599279,14.17208,11.537665380936,2.8342797185389,159.937947990569,0.176914111725808,1.12216,10.5949505346142
Urban,1.5,3.5,28.21832,2.33350832867594,17.26608,11.3662141738809,2.83742154937758,159.937178390569,0.176433774085288,1.34472,13.971147688169
Urban,1.5,4,27.65776,2.79980560957874,16.0836,11.0348334331769,2.81880559938929,159.931572790569,0.172934959104153,1.73368,11.6742480756328
Urban,1.5,4.5,28.35976,1.38170989246613,17.446,10.3842408151064,2.84347788932317,159.938592790569,0.177316553216994,1.42792,11.157708392831
Urban,1.5,5,28.38264,1.75451754819916,15.4024,10.840009066944,2.85464237244715,159.938821590569,0.17745935425645,1.0608,11.4188137144808
Urban,1.5,5.5,28.22352,1.57820205426353,15.41488,11.6045801806433,2.84802517382167,159.937230390569,0.176466229476888,1.2688,12.0594613730087
Urban,1.5,6,28.35768,1.52987492405925,17.76632,9.95714369633118,2.85534168197943,159.938571990569,0.177303571284056,1.42064,12.3100422367742
Urban,1.5,6.5,28.6364,0.677610326885623,14.48096,11.3680166183509,2.84059776607345,159.941359190569,0.179043120209326,1.68064,16.1536200426177
Urban,1.5,7,28.4024,1.51072378923049,16.42576,11.5898220277579,2.89163380544879,159.939019190569,0.177582682098095,1.23032,12.1551773875489
Urban,1.5,7.5,27.6952,2.35395476175906,13.02184,11.4506077610023,2.86591104109219,159.931947190569,0.173168653833742,1.23448,12.9370798872561
Urban,1.5,8,28.4492,1.33723571106173,14.20744,11.1429328645046,2.87359299433707,159.939487190569,0.17787477313906,1.16376,13.7144562303613
Urban,1.5,8.5,28.14344,1.80137235847494,14.48408,11.7467312480484,2.84490822021429,159.936429590569,0.175966414106193,1.11384,14.0752903039325
Urban,1.5,9,28.29736,1.52474717556313,14.40712,11.44072069344,2.85609186430194,159.937968790569,0.176927093760044,1.07952,14.1160860694822
Urban,1.5,9.5,28.09872,1.81094981325338,13.25376,11.4158733788725,2.84778962380082,159.935982390569,0.175687294253659,0.884,13.1141812993142
Urban,1.5,10,27.9292,2.29077799813397,14.1024,10.7471122576044,2.80492456678597,159.934287190569,0.174629221104547,1.26672,12.4514561240784
Urban,1.5,10.5,28.35976,1.38170989246613,14.96352,11.2514024708396,2.79356447078031,159.938592790569,0.177316553216994,1.08264,14.160872211124
Urban,1.5,11,26.95576,4.0864690939135,11.13736,10.1177453198601,2.83360377542749,159.924552790569,0.168552980325042,0.83616,12.4564681489859
Urban,1.5,11.5,26.72488,4.52588919503276,10.06616,9.65991440229114,2.82474539681821,159.922243990569,0.16711171212415,1.08264,11.8698911577301
Urban,1.5,12,26.7384,4.50608839827419,13.9828,11.8292168837008,2.77466714357878,159.922379190569,0.167196111859602,0.86008,15.677567575972
Urban,2,0,28.10808,2.26862806550387,14.87096,10.6506778034,2.87788237754386,159.936075990569,0.175745714817071,1.30624,11.4976122046385
Urban,2,0.5,28.52928,0.991972165508115,16.81368,10.5940263827098,2.81409675203068,159.940287990569,0.178374569399814,1.9864,12.4900863133272
Urban,2,1,28.30672,2.31951739385765,17.88592,10.5321056519035,2.86229585084986,159.938062390569,0.17698551287232,1.47784,10.5596448475128
Urban,2,1.5,28.5116,1.1632417054534,17.6488,11.8349243395321,2.83616047896309,159.940111190569,0.178264225201322,1.2948,12.4402276237286
Urban,2,2,28.49184,1.46750822213738,18.46936,11.1791716712604,2.88757562706634,159.939913590569,0.178140899043727,1.43624,11.1991956513641
Urban,2,2.5,28.70816,0.814832682461966,15.13512,11.7928678353157,2.83968623942819,159.942076790569,0.179490979334919,1.67024,12.8447304071879
Urban,2,3,27.78672,2.73796545229468,13.3328,11.7504972851782,2.87999411030507,159.932862390569,0.173739903010943,1.15336,11.3527928012017
Urban,2,3.5,28.4492,1.33723571106173,16.796,10.9559517028091,2.85990629611686,159.939487190569,0.17787477313906,1.61304,10.2409866750102
