Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km
Urban,3.5,3.5,14.391,14.5628833136904,3.387,8.27931285968657,1.09583372592536
Urban,3.5,4,19.677,16.7493365997168,2.0265,5.73518590788121,1.10302045631895
Urban,3.5,4.5,12.8115,14.6858482223603,2.286,6.16195776270722,1.11025431894851
Urban,3.5,5,15.1095,15.2811273908941,1.3245,1.41067802846716,1.1175356229181
Urban,3.5,5.5,11.7435,13.5633047207891,1.524,1.97453792062852,1.124864679359
Urban,3.5,6,14.298,15.0665698329319,2.115,5.75924500791766,1.13224180144292
Urban,3.5,6.5,12.621,13.9227765967592,2.502,5.6999146073088,1.13966730439543
Urban,3.5,7,13.9125,15.4551352422793,2.5905,6.03558091568624,1.14714150550943
Urban,3.5,7.5,16.2225,14.5003221727052,2.6025,6.40684274261289,1.15466472415871
Urban,3.5,8,15.093,13.9120497616789,2.25,4.24326296760464,1.16223728181157
Urban,3.5,8.5,13.044,11.9824409798978,3.8805,8.0480877593148,1.16985950204457
Urban,3.5,9,16.398,15.2653927334387,2.163,4.54286623988308,1.17753171055638
Urban,3.5,9.5,15.7095,15.1100924932001,2.832,7.09105328810141,1.18525423518166
Urban,3.5,10,11.8545,15.3813369967023,1.3935,1.00886137576488,1.19302740590509
Urban,3.5,10.5,14.109,14.1631562117189,3.135,8.16640861038907,1.20085155487547
Urban,3.5,11,13.6875,15.4495411810216,3.8355,9.75121275817024,1.20872701641989
Urban,3.5,11.5,17.2245,14.4835158676253,3.618,7.69446202917185,1.21665412705807
Urban,3.5,12,15.348,15.1337816807031,2.9925,7.34731703426773,1.22463322551667
Urban,4,0,16.0005,15.4365277848038,2.766,6.62116226926348,1.05368606280453
Urban,4,0.5,13.458,14.5445799919715,2.3925,5.94458948394698,1.06059637909951
Urban,4,1,15.7845,15.2321741667741,3.639,8.88158373218632,1.06755201484304
Urban,4,1.5,13.707,14.746847674216,2.9775,6.40648437849003,1.07455326725049
Urban,4,2,11.784,14.2206677704226,3.1905,8.38524410034967,1.08160043548649
Urban,4,2.5,16.4475,15.8365207362796,5.619,12.3600590696033,1.08869382067763
Urban,4,3,16.209,16.0427146349096,3.54,8.53624027070371,1.09583372592536
Urban,4,3.5,15.147,15.9627465221563,3.1245,6.08010197702476,1.10302045631895
